pickup_zip,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
10037,49660,758.892287555377,2.81402396312212,17.9115626764606,2.31504648162854
10038,798594,1073.25052404601,9.38564038801304,20.817993312056,3.13289322914814
10039,21975,782.144755403868,2.8071208192414,18.0539064844112,2.29119490211927
10040,13346,886.807208152255,3.87873070875483,23.5609185180032,3.3234518067109
10044,10614,1049.36414169964,4.01758432190915,22.2912472982049,3.30991297044438
10048,150692,1202.65523717251,89.9091318715679,20.4798404079175,3.16338332150122
10055,9552,854.182998324958,2.49316373508746,16.4048785678659,2.61770142756296
10065,4979947,2273.96678438546,8.60857815991641,14.1009075278894,2.16225082155505
10069,292249,818.437312018176,2.39192257191422,14.9088995366284,2.21551844151937
10075,2084702,753.954413628423,10.0240192139034,14.5330570296048,2.2093878781282
10103,29844,853.081724969843,2.1868767592701,15.4692755471337,2.41425092303941
10104,30402,984.699032958358,2.81865995653985,18.2250097161128,2.9137087172355
10107,15355,864.502442201237,2.21568805087529,15.2440814890631,2.36470594142028
10111,83147,873.640432005965,2.22141712926038,15.8629690044815,2.50850507543511
10112,16262,871.568318779978,2.69361087319166,17.79281773715,2.85097981841752
10115,1341,1138.91498881432,3.36788963694834,20.5083195667289,3.25090481563264
10128,3403216,799.671903282072,-1.18213714347111,15.5721186171584,2.35689610565008
10151,14903,874.570086559753,2.03451385584506,14.8990000992002,2.32099742586867
10152,35828,874.196689739868,2.41383219727223,16.3236110470354,2.59824235202547
10153,53035,798.997152823607,2.23842066507925,14.7829474401927,2.30290290065945
10154,59372,904.039496732466,2.63528447681105,17.0523235967853,2.74306674477907
10155,6792,819.131919905771,2.34030624306914,15.3157237601275,2.38033040247137
10280,475053,1096.82431012961,4.21670960939191,21.3302807802364,3.21280728613281
10281,288037,1118.74388707006,4.21100313516897,21.2996329437132,3.25878381837491
10282,484366,1036.97246090766,9.42163257778133,20.2891830921535,3.06706901412869
10285,22270,1079.42114952851,4.34501616593081,21.8764830289909,3.40625293292152
10301,248,1059.57258064516,5.15060483768672,45.8164352686509,6.45478258754896
10302,36,796.972222222222,5.10444445204404,40.2633335855272,6.6833334101571
10303,168,1533.69047619048,5.88047618008707,44.6487205915673,13.5288371880387
10304,268,1410.87313432836,4.75921642874826,43.8664661636926,7.40473684681145
10305,382,914.301047120419,6.2606544403057,63.5866284942627,10.9847428601129
10306,180,670.472222222222,4.39866668706139,55.1170832812786,8.61500003615705
10307,8,959,4.11875009909272,90.2920024871826,3.49200000762939
10308,29,571.896551724138,4.86310344998693,80.6507704074566,11.7861538300147
10309,57,1089.66666666667,7.40438590996098,72.8312500528991,11.3912500269944
10310,121,781.710743801653,4.64454545376222,31.8279104730976,5.51641794816772
10312,75,393.933333333333,2.91573334862789,76.6555015563965,11.5299999475479
10314,455,1120.45494505495,7.52116483028282,89.0654689201287,24.70461229184
10451,34711,779.724784650399,57.067928564601,20.8269385612057,2.76672100253852
10452,11010,875.726793823797,3.37204359646711,22.1854815018,3.00837844439074
10453,4896,827.505718954248,3.20164624065179,20.9496059277174,2.79403823968627
10454,15899,975.417762123404,3.49931567933599,21.0447683743851,2.66405090392278
10455,6431,940.31830197481,3.29314725171549,20.8190270702044,2.50933827057573
10456,5443,899.59985302223,2.84814991839723,19.8005412501978,2.38054132938485
10457,2790,875.593548387097,3.31423297697498,22.6013109994597,2.80587777389627
10458,2756,931.374092888244,3.76034833341959,25.3891983108673,3.88226453736536
10459,2224,852.92940647482,3.39574640232688,22.6603560931062,3.18167122828021
10460,2489,935.28726396143,3.82083969376981,25.6665723641152,3.36719669608533
10461,2059,965.34142787761,4.4052112641581,32.9326497534994,4.4807810299722
10462,4258,1001.73813997182,4.03408172876106,25.8575900541928,3.55374458682432
10463,6523,751.633297562471,3.59616894154705,25.8138292839217,4.12984446749348
10464,199,1337.42713567839,7.1327135659773,64.0389654718596,7.73149427617418
10465,1102,833.771324863884,5.85921959945773,58.5985340778991,7.9454373499427
10466,630,983.838095238095,4.08287301824561,30.9625436632257,4.29236841517942
10467,2524,864.669572107765,4.16030507238667,28.4487822543772,4.06487047010454
10468,3915,787.906002554278,3.55438313939172,24.0811931402743,3.34641176542627
10469,1338,897.407324364723,3.9728026903737,27.299085538211,4.4334241204645
10470,738,875.776422764228,3.44891599409262,34.2334052408064,5.48864866946195
10471,1496,861.421122994652,4.82491979161327,37.4059689594794,5.9225891522861
10472,2827,930.696144322603,3.87840113726975,25.6388139385953,3.18922008723458
10473,1567,787.865985960434,3.7346522053246,25.8722483406405,3.51706114642807
10474,519,875.236994219653,4.33275529859598,31.8569033315339,4.65949238524749
10475,697,958.71018651363,4.84034433018635,32.3867818030519,4.18553632383064
11001,102,571.450980392157,3.38215686187294,55.8168180422349,4.79318185286088
11004,440,664.552272727273,3.12522727906789,27.9882966686081,3.88423076280198
11005,48,734.895833333333,5.37520831885437,87.6300011475881,13.6012499729792
11040,46,515.608695652174,3.80021737880357,93.9609531675066,7.55333330517723
