doy,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
77,452981,872.159973597127,2.8387676301684,17.4377992518615,2.71159524574565
78,451904,912.508546062881,3.24675375725228,17.8587894906958,2.77993218472122
79,458225,875.941489442959,3.78521017025106,17.0003522416753,2.63188305789783
80,468108,863.421351482991,6.63744205916039,16.4592942091775,2.49930996063145
81,429016,961.434610830365,5.84347013433805,17.5520565404676,2.66917938495429
82,390353,835.560835961297,-41.6354504770536,17.7103851263506,2.74233731003392
83,412152,855.804521147538,2.85577148681219,17.2837003315288,2.68172054149232
84,427026,893.520645112944,41.5068248999972,17.5464125818946,2.72400325141616
85,427632,948.538339039174,4.03943393759569,18.1258127661591,2.79790790030048
86,465493,907.102070278178,3.54109752390653,17.6723354470541,2.71376536168074
87,510351,814.041242203895,6.09332292860257,16.0559631535161,2.43615675644598
88,424267,849.694475412889,4.90868310488166,17.5027651672769,2.6578445992113
89,391004,910.169540465059,19.1089978967448,17.7886702977073,2.74174902665318
90,429914,922.325379029294,18.9073226422095,17.3512143161532,2.67747924010079
91,440246,919.191969944077,137.925087814607,17.4853839259699,2.69412565380046
92,444300,1242.23088003601,26.2058180437887,18.1685584725323,2.79576443924773
93,444077,894.186708611344,2.90136913170852,17.0391637506175,2.59815361501024
94,440170,-2206.67116795783,2.74204595934653,15.5711401696285,2.34709634100971
95,377462,1565.66552129751,3.37644260866528,17.3302345707322,2.61681557504438
96,375754,849.501713887277,3.10291890397636,17.8904282288818,2.74081748213896
97,425909,852.658009105231,26.4613846852901,16.9175455275569,2.60710767941158
98,443492,102652.465658907,40.3819143519776,17.2003626085224,2.65451794693241
99,460476,873.585355154232,2.84522309472549,17.2747626599549,2.6744523458719
100,468077,867.549890295827,26.159090448508,17.1152849170428,2.62238716160206
101,473730,874.870839929918,2.84460342375061,16.6589288770285,2.50358945320529
102,407342,835.450633619907,13.5436515012085,17.7209972769114,2.6848874927116
103,377158,832.911628548248,25.3726083145396,17.9373062237081,2.76824515468495
104,411892,1460.74442572325,2.92098914235392,17.4838860459494,2.70249348891685
105,427092,927.165606005263,6.14196682395663,18.0844599736994,2.79725372451822
106,452157,953.161985770429,58.6473671718437,18.2136688420484,2.81784491390809
107,469283,936.153907130665,12.1237189072369,17.9627294350665,2.75162848376421
108,500928,902.740429762361,34.79683383592,17.0736451406593,2.56769810108875
109,445785,854.416173716029,14.5699401493293,17.8841022961412,2.71340260586433
110,397259,874.993618772639,101.162149856564,17.5385774517192,2.70936016762802
111,426137,909.373302482535,25.9526185707846,18.0825701972591,2.80100203443803
112,432491,938.988799766932,49.8286345609838,17.9950508531307,2.79748690427255
113,463486,979.744130351294,40.7354334298904,18.2407018182046,2.81366038224254
114,474068,971.436808643486,84.8986902379834,18.1836243653806,2.78397448238876
115,489474,1724.0247285862,3.18270715065233,16.8045993503424,2.54536213598744
116,424608,871.301786589042,4.48991863645024,18.2388661577025,2.769557192123
117,393526,850.104224371452,65.1186801650688,17.8271908432278,2.7616262764887
118,411771,886.170949386917,14.2818594891967,17.5873466393605,2.72628272869095
119,427507,958.188254227416,31.5718776494529,18.2231649144944,2.82265180757317
120,446132,976.360458339684,59.9551343097416,18.5056940261665,2.86820117420049
121,461547,967.907426545942,3.29732563786289,18.1711673389956,2.78074959387167
122,507619,926.065564921723,65.7592171485833,16.3489264145965,2.47117344576074
123,434789,834.36939526989,21.6890652183303,18.0733989111542,2.74127020730142
124,390266,909.66044697719,3.12200650316041,18.6136241155705,2.88495697782439
125,432452,903.005912794946,2.92026858457302,17.6847161905619,2.74265685909949
126,444948,929.958226579286,21.6572637924781,18.0124811077468,2.79764824052646
127,442222,998.185669188778,3.02785618974739,18.7578968782111,2.90904465401126
128,449009,989.128995187179,2.99445514457596,18.3010085383321,2.80996825748269
129,469017,849.138547216839,3.96373498926617,16.6246582106535,2.50875298946354
130,405427,852.854933193892,3.2879797097868,17.9511935004588,2.71400442286241
131,395280,909.183604027525,3.11132989263515,18.4792498068826,2.85991050036098
132,424512,948.958498228554,2.96620255722063,18.3272885486344,2.84111124139358
133,439371,995.503786094212,3.01314627027809,18.7733072914543,2.90501441680267
134,439936,1066.13945437518,6.45254909788752,19.4743721160934,3.011634370385
135,457541,1020.06122292866,3.16706120302838,18.9949543647838,2.90811024558194
136,479580,949.429185954377,28.6551005255434,17.7263427935578,2.67133879271984
137,423198,882.760220984031,3.39117571449909,18.6270264851566,2.83276292709563
138,403641,912.899197554262,3.12097596582025,18.4645828007677,2.84272133199866
139,432943,963.87145651968,34.9855511230909,18.5868906017041,2.87490818719601
140,441232,990.907606429271,3.20071141683693,18.6544181257239,2.88281558800998
141,446819,995.458809943176,3.02302368501838,18.5852699452762,2.869771403271
142,419629,936.164438110807,10.2401636921151,18.2459099591316,2.78168269186881
143,383363,807.74371809486,22.7377066380315,16.7808615394718,2.53227697006021
144,336652,801.150208523936,29.3625437548387,17.1144775063349,2.56816558333212
145,301706,765.711752500779,5.72982277430912,18.603406570067,2.82601799547949
146,387134,909.980014671922,3.06696001863307,18.2500114379374,2.82210012697483
147,415919,973.728680344009,39.1029201117448,17.9933800950957,2.77595989387849
148,432112,990.596396304662,3.02108784084469,18.4207602374913,2.84443606200072
149,441299,972.131253413219,2.97221192424595,18.1286058657054,2.77565321008271
150,451080,897.765626939789,5.34834883065429,16.9503798588125,2.55762713627568
151,368019,1017.99909243816,74.7584947888611,18.931692593377,2.85771834780598
152,400833,924.026225385634,6.81927675637502,18.5133949439445,2.84920480928383
153,419994,963.809563946152,11.5159297819561,18.1671503674659,2.81862247782941
154,425776,977.072331460674,2.9264659584701,18.1644416104232,2.81821543401652
155,444543,1191.86102131852,23.025977488307,18.4828997611838,2.8539848647839
156,451185,985.178059997562,57.8644776389657,18.2360204274978,2.78532285097842
157,449804,864.291827106918,28.3327009349485,16.6504825273564,2.51518874031642
158,402188,896.809690990283,24.7845675900398,18.3678934234329,2.77568049414424
159,391087,899.142180640113,5.38574436950943,18.2931107934711,2.83057786289981
160,409188,939.409806739201,52.9007022460961,18.0084631295652,2.79372114778057
161,424356,969.356955009473,17.8504010071074,18.2910797913397,2.84107483179411
162,439869,990.606116821144,5.97529316638628,18.4685944704801,2.86227647612754
163,443026,962.714474996953,42.0726509812343,18.1236109085446,2.77637714127084
164,428004,855.744570144204,10.1813556408236,16.7614104966615,2.52530321918054
165,382037,860.12981465146,3.31196399824278,18.0830144737278,2.73514608112415
166,374858,913.312958506955,3.11747720441084,18.3716603586651,2.83404122277874
167,400518,922.354193819004,2.95868425350615,18.0675471480925,2.80454829418933
168,425743,961.532706351015,2.96975355996831,18.3497246124719,2.85925187017342
169,429386,958.276154788465,2.9931158674937,18.2363703809676,2.83019265901536
170,436303,926.302729983521,3.06090123107204,18.0269029157082,2.77060968131638
171,413866,855.849221728772,2.93672012162129,16.6238978222587,2.51753833181194
172,366158,846.91739358419,4.13992740801232,17.8540769712616,2.71573909904865
173,374849,890.114979631798,3.16676653736609,18.3967191936654,2.84636607582282
174,406139,908.021017434918,2.83425886194909,17.5193641304059,2.72467723803306
175,411370,971.387298539028,2.97846622217018,18.4399263775621,2.86145429709457
176,419739,998.993217213554,3.00253469353294,18.6245943768261,2.88228453028266
177,425774,961.697985316154,2.99771989329836,18.2333760347683,2.78981531842643
178,445861,898.988664628662,2.87273044719157,16.8614970936653,2.56204181258802
179,348433,917.905367746453,3.32324974946983,18.5851108157974,2.82482376170039
180,359808,881.60098163465,3.09254168836507,18.1365831804053,2.80778775375407
181,374240,913.935068405301,2.88885549335488,17.578935227158,2.72370017816637
182,390084,895.576324586499,6.35173121686816,17.5670461434037,2.71098694699636
183,365953,1033.27901943692,2.96401272813507,17.7922297855129,2.72269217512599
184,304176,762.496784756194,13.9649306975197,16.7240687915224,2.5290877971647
185,254353,761.721941553668,3.10690013442435,16.6181894088232,2.48657313320925
186,275555,808.438133947851,3.55408176220824,18.6710932394328,2.8197787985758
187,315526,819.298111724549,28.5906562372974,18.1007860646066,2.77503362733004
188,367579,877.642982868989,2.89313189748755,17.3880011351855,2.69093193699036
189,393186,878.126103167458,2.84657920128615,17.219697655413,2.66144847307141
190,405656,915.588306348236,10.7062568031972,17.4972613404163,2.70201258925058
191,401014,909.552409641559,2.97035357785293,17.6949733087177,2.70985017694961
192,407202,833.889172941194,2.91646656897533,16.4003974966753,2.48257438966165
193,364211,890.769378190115,21.9836359831993,17.7709977397879,2.70210186427183
194,350162,865.391495936167,5.06993874673708,18.0613537614681,2.79380945234076
195,385566,937.153545696457,2.88353630740796,17.5336602363193,2.72064424472265
196,404755,925.258719472273,2.92069343166382,17.9344661623914,2.78227588479879
197,400140,983.274249012846,3.03643564708264,18.5581142889031,2.86037884560948
198,365045,942.937733704064,3.1362690625646,18.3529198454932,2.81440775023299
199,403824,873.169140516661,3.38068175608809,16.5194356483347,2.50348244534172
200,395475,820.906031986851,16.9169517160266,17.5152690227335,2.65995801390461
